sppnum,gen,spec,genus,species,family,growthform,lifeform,origin,photo
408,cirsiu,vulga,cirsium,vulgare,asteraceae,b,f,i,c3
409,eriger,phila,erigeron,philadelphicus,asteraceae,b,f,n,c3
410,eupato,altis,eupatorium,altissimum,asteraceae,p,f,n,c3
411,helian,tuber,helianthus,tuberosus,asteraceae,p,f,n,c3
412,liatri,mucro,liatris,mucronata,asteraceae,p,f,n,c3
413,verbes,alter,verbesina,alternifolia,asteraceae,p,f,n,c3
414,ostrya,virgi,ostrya,virginiana,betulaceae,p,w,n,c3
415,buglos,arven,buglossoides,arvensis,boraginaceae,a,f,i,c3
416,lithos,canes,lithospermum,canescens,boraginaceae,p,f,n,c3
417,alliar,petio,alliaria,petiolata,brassicaceae,b,f,i,c3
418,cameli,micro,camelina,microcarpa,brassicaceae,a,f,i,c3
419,cardam,conca,cardamine,concatenata,brassicaceae,p,f,n,c3
420,draba,cunei,draba,cuneifolia,brassicaceae,a,f,n,c3
421,hesper,matro,hesperis,matronalis,brassicaceae,p,f,i,c3
422,thlasp,arven,thlaspi,arvense,brassicaceae,a,f,i,c3
423,lobeli,siphi,lobelia,siphilitica,campanulaceae,p,f,n,c3
424,dianth,armer,dianthus,armeria,caryophyllaceae,a,f,i,c3
425,celast,scand,celastrus,scandens,celastraceae,p,w,n,c3
426,chenop,stand,chenopodium,standleyanum,amaranthaceae,a,f,n,c3
427,monole,nutta,monolepis,nuttalliana,amaranthaceae,a,f,n,c3
428,evolvu,nutta,evolvulus,nuttallianus,convolvulaceae,p,f,n,c3
429,ipomoe,heder,ipomoea,hederacea,convolvulaceae,a,f,i,c3
430,sicyos,angul,sicyos,angulatus,cucurbitaceae,a,f,n,c3
431,cuscut,glome,cuscuta,glomerata,cuscutaceae,a,f,n,c3
432,astrag,misso,astragalus,missouriensis,fabaceae,p,f,n,c3
433,desmod,panic,desmodium,paniculatum,fabaceae,p,f,n,c3
434,desmod,sessi,desmodium,sessilifolium,fabaceae,p,f,n,c3
435,coryda,micra,corydalis,micrantha,fumariaceae,a,f,n,c3
436,dicent,cucul,dicentra,cucullaria,fumariaceae,p,f,n,c3
437,ellisi,nycte,ellisia,nyctelea,boraginaceae,a,f,n,c3
438,ammann,cocci,ammannia,coccinea,lythraceae,a,f,n,c3
439,sida,spino,sida,spinosa,malvaceae,a,f,i,c3
440,maclur,pomif,maclura,pomifera,moraceae,p,w,n,c3
441,oenoth,glauc,oenothera,glaucifolia,onagraceae,b,f,n,c3
442,phlox,divar,phlox,divaricata,polemoniaceae,p,f,n,c3
443,persica,amphi,persicaria,amphibia,polygonaceae,p,f,n,c3
444,portul,olera,portulaca,oleracea,portulacaceae,a,f,n,CAM
445,lysima,cilia,lysimachia,ciliata,primulaceae,p,f,n,c3
446,ranunc,abort,ranunculus,abortivus,ranunculaceae,b,f,n,c3
447,prunus,virgi,prunus,virginiana,rosaceae,p,w,n,c3
448,penste,tubif,penstemon,tubiflorus,plantaginaceae,p,f,n,c3
449,agalin,densi,agalinis,densiflora,orobanchaceae,a,f,n,c3
450,veroni,pereg,veronica,peregrina,plantaginaceae,a,f,n,c3
451,urtica,dioic,urtica,dioica,urticaceae,p,f,n,c3
452,phyla,lance,phyla,lanceolata,verbenaceae,p,f,n,c3
453,verben,hasta,verbena,hastata,verbenaceae,p,f,n,c3
454,alisma,subco,alisma,subcordatum,alismataceae,p,m,n,c3
455,sagitt,latif,sagittaria,latifolia,alismataceae,p,m,n,CAM
456,trades,ohien,tradescantia,ohiensis,commelinaceae,p,m,n,c3
457,allium,stell,allium,stellatum,liliaceae,p,m,n,c3
458,aspara,offic,asparagus,officinalis,asparagaceae,p,m,i,c3
459,erythr,albid,erythronium,albidum,liliaceae,p,m,n,c3
460,najas,guada,najas,guadalupensis,hydrocharitaceae,a,m,n,c3
461,agrost,stolo,agrostis,stolonifera,poaceae,p,g,i,c3
462,bothri,bladh,bothriochloa,bladhii,poaceae,p,g,i,c4
463,erioch,contr,eriochloa,contracta,poaceae,a,g,n,c4
464,phleum,prate,phleum,pratense,poaceae,p,g,i,c3
465,potamo,folio,potamogeton,foliosus,potamogetonaceae,p,m,n,c3
466,potamo,nodos,potamogeton,nodosus,potamogetonaceae,p,m,n,c3
467,potamo,pusil,potamogeton,pusillus,potamogetonaceae,p,m,n,c3
468,veroni,agres,veronica,agrestis,plantaginaceae,a,f,i,c3
469,stroph,helvo,strophostyles,helvola,fabaceae,a,f,n,c3
470,lactuc,ludov,lactuca,ludoviciana,asteraceae,b,f,n,c3
473,tritic,aesti,triticum,aestivum,poaceae,a,g,i,c3
474,gailla,pulch,gaillardia,pulchella,asteraceae,a,f,n,c3
475,eriger,annuu,erigeron,annuus,asteraceae,a,f,n,c3
482,annual,forb,annual,forb,unknown,a,f,n,.
483,trifol,repen,trifolium,repens,fabaceae,p,f,i,c3
500,helian,pauci,helianthus,pauciflorus,asteraceae,p,f,n,c3
501,ophiog,vulga,ophioglossum,vulgatum,ophioglossaceae,p,o,n,c3
502,poa,compr,poa,compressa,poaceae,p,g,i,c3
503,potent,simpl,potentilla,simplex,rosaceae,p,f,n,c3
504,chaero,taint,chaerophyllum,tainturieri,apiaceae,a,f,n,c3
505,desmod,canes,desmodium,canescens,fabaceae,p,f,n,c3
506,chrysa,leuca,chrysanthemum,leucanthemum,asteraceae,p,f,i,c3
507,rubus,occid,rubus,occidentalis,rosaceae,p,w,n,c3
508,scroph,maril,scrophularia,marilandica,scrophulariaceae,p,f,n,c3
509,lamium,ample,lamium,amplexicaule,lamiaceae,a,f,i,c3
510,ulmus,rubra,ulmus,rubra,cannabaceae,p,w,n,c3
511,robini,pseud,robinia,pseudo-acacia,fabaceae,p,w,n,c3
512,bothri,ischa,bothriochloa,ischaemum,poaceae,p,g,i,c4
515,helian,maxim,helianthus,maximilianii,asteraceae,p,f,n,c3
516,asclep,lanug,asclepias,lanuginosa,asclepiadaceae,p,f,n,c3
517,securi,varia,securigera,varia,fabaceae,p,f,i,c3
518,erecht,hiera,erechtites,hieraciifolia,asteraceae,a,f,n,c3
519,carex,austr,carex,austrina,cyperaceae,p,s,n,c3
520,pseudo,obtus,pseudognaphalium,obtusifolium,asteraceae,a,f,n,c3
521,amphia,dracu,amphiachyris,dracunculoides,asteraceae,a,f,n,c3
522,symphy,pilos,symphyotrichum,pilosum,asteraceae,p,f,n,c3
523,euphor,macul,euphorbia,maculata,euphorbiaceae,a,f,n,c4
524,veroni,arven,veronica,arvensis,plantaginaceae,a,f,i,c3
525,arenar,serpy,arenaria,serpyllifolia,caryophyllaceae,a,f,i,c3
526,euphor,david,euphorbia,davidii,euphorbiaceae,a,f,i,c3
527,solida,gigan,solidago,gigantea,asteraceae,p,f,n,c3
528,cuscut,indec,cuscuta,indecora,cuscutaceae,a,f,n,c3
529,eragro,cilia,eragrostis,cilianensis,poaceae,a,g,i,c4
530,cuscut,coryl,cuscuta,coryli,cuscutaceae,a,f,n,c3
531,polygo,avicu,polygonum,aviculare,polygonaceae,a,f,i,c3
532,physal,misso,physalis,missouriensis,solanaceae,a,f,n,c3
533,solida,canad,solidago,canadensis,asteraceae,p,f,n,c3
534,oxalis,dille,oxalis,dillenii,oxalidaceae,p,f,n,c3
535,taraxa,eryth,taraxacum,erythrospermum,asteraceae,p,f,i,c3
536,pyrus,calle,pyrus,calleryana,rosaceae,p,w,i,c3
537,solida,petio,solidago,petiolaris,asteraceae,p,f,n,c3
538,physal,longi,physalis,longifolia,solanaceae,p,f,n,c3
539,lepidi,virgi,lepidium,virginicum,brassicaceae,a,f,n,c3
540,draba,brach,draba,brachycarpa,brassicaceae,a,f,n,c3
541,lonice,maack,lonicera,maackii,caprifoliaceae,p,w,i,c3
542,carex,bickn,carex,bicknellii,cyperaceae,p,s,n,c3
543,tragia,ramos,tragia,ramosa,euphorbiaceae,p,f,n,c3
544,ampelo,corda,ampelopsis,cordata,vitaceae,p,w,n,c3
545,lesped,xmann,lespedeza,X manniana,fabaceae,p,f,n,c3
546,desmod,perpl,desmodium,perplexum,fabaceae,p,f,n,c3
547,viola,misso,viola,missouriensis,violaceae,p,f,n,c3
548,carex,grise,carex,grisea,cyperaceae,p,s,n,c3
549,lesped,cunea,lespedeza,cuneata,fabaceae,p,f,i,c3
550,asclep,asper,asclepias,asperula,asclepiadaceae,p,f,n,c3
0,bare_ground,,bare_ground,,,,,,
999,litter,,litter,,,,,,
998,rock,,rock,,,,,,
997,dung,,dung,,,,,,
996,bison_trail,,bison_trail,,,,,,
9001,,,unk_flagged_forb,,,,,,
9002,,,unk_seedling_1,,,,,,
9003,,,unk_forb_1,,,,,,
9004,,,unk_opposite,,,,,,
9005,,,unk_seedling_2,,,,,,
899,,,unk_2021_check,,,,,,
3751,,,jeff_unk_check,,,,,,
