sppnum,gen,spec,genus,species,family,growthform,lifeform,origin,photo
92,linum,sulca,linum,sulcatum,linaceae,a,f,n,c3
93,lithos,incis,lithospermum,incisum,boraginaceae,p,f,n,c3
94,lomati,foeni,lomatium,foeniculaceum,apiaceae,p,f,n,c3
95,nothoc,cuspi,nothocalais,cuspidata,asteraceae,p,f,n,c3
96,coryph,misso,coryphantha,missouriensis,cactaceae,p,f,n,CAM
97,oenoth,macro,oenothera,macrocarpa,onagraceae,p,f,n,c3
99,oenoth,speci,oenothera,speciosa,onagraceae,p,f,n,c3
100,oenoth,bienn,oenothera,biennis,onagraceae,b,f,n,c3
101,opunti,macro,opuntia,macrorhiza,cactaceae,p,f,n,CAM
102,oxalis,stric,oxalis,stricta,oxalidaceae,p,f,n,c3
103,oxalis,viola,oxalis,violacea,oxalidaceae,p,f,n,c3
104,penste,cobae,penstemon,cobaea,plantaginaceae,p,f,n,c3
105,penste,grand,penstemon,grandiflorus,plantaginaceae,p,f,n,c3
106,dalea,candi,dalea,candida,fabaceae,p,f,n,c3
107,dalea,multi,dalea,multiflora,fabaceae,p,f,n,c3
109,dalea,purpu,dalea,purpurea,fabaceae,p,f,n,c3
110,lactuc,salig,lactuca,saligna,asteraceae,a,f,i,c3
111,physal,pumil,physalis,pumila,solanaceae,p,f,n,c3
112,physal,virgi,physalis,virginiana,solanaceae,p,f,n,c3
113,cratae,molli,crataegus,mollis,rosaceae,p,w,n,c3
114,planta,rhodo,plantago,rhodosperma,plantaginaceae,a,f,n,c3
115,polyga,verti,polygala,verticillata,polygalaceae,a,f,n,c3
116,pediom,escul,pediomelum,esculentum,fabaceae,p,f,n,c3
117,pediom,tenui,pediomelum,tenuiflorum,fabaceae,p,f,n,c3
118,ratibi,colum,ratibida,columnifera,asteraceae,p,f,n,c3
119,rudbec,hirta,rudbeckia,hirta,asteraceae,b,f,n,c3
120,ruelli,humil,ruellia,humilis,acanthaceae,p,f,n,c3
121,salvia,azure,salvia,azurea,lamiaceae,p,f,n,c3
122,mimosa,quadr,mimosa,quadrivalvis,fabaceae,p,f,n,c3
123,packer,platt,packera,plattensis,asteraceae,b,f,n,c3
124,silene,antir,silene,antirrhina,caryophyllaceae,a,f,n,c3
125,sisyri,campe,sisyrinchium,campestre,iridaceae,p,m,n,c3
126,solanu,carol,solanum,carolinense,solanaceae,p,f,n,c3
127,solida,altis,solidago,altissima,asteraceae,p,f,n,c3
128,solida,misso,solidago,missouriensis,asteraceae,p,f,n,c3
129,solida,molli,solidago,mollis,asteraceae,p,f,n,c3
130,solida,rigid,solidago,rigida,asteraceae,p,f,n,c3
131,solida,speci,solidago,speciosa,asteraceae,p,f,n,c3
132,spermo,inerm,spermolepis,inermis,apiaceae,a,f,n,c3
133,trades,bract,tradescantia,bracteata,commelinaceae,p,m,n,c3
134,tragia,beton,tragia,betonicifolia,euphorbiaceae,p,f,n,c3
135,tragop,dubiu,tragopogon,dubius,asteraceae,b,f,i,c3
136,trioda,lepto,triodanis,leptocarpa,campanulaceae,a,f,n,c3
137,trioda,perfo,triodanis,perfoliata,campanulaceae,a,f,n,c3
138,glandu,bipin,glandularia,bipinnatifida,verbenaceae,p,f,n,c3
139,verben,stric,verbena,stricta,verbenaceae,p,f,n,c3
140,vernon,baldw,vernonia,baldwinii,asteraceae,p,f,n,c3
141,viola,bicol,viola,bicolor,violaceae,a,f,n,c3
142,galium,apari,galium,aparine,rubiaceae,a,f,n,c3
143,lesped,viola,lespedeza,violacea,fabaceae,p,f,n,c3
144,pediom,argop,pediomelum,argophyllum,fabaceae,p,f,n,c3
145,desmod,illin,desmodium,illinoense,fabaceae,p,f,n,c3
146,juncus,inter,juncus,interior,juncaceae,p,s,n,c3
147,viola,pedat,viola,pedatifida,violaceae,p,f,n,c3
148,prunus,ameri,prunus,americana,rosaceae,p,w,n,c3
149,scutel,parvu,scutellaria,parvula,lamiaceae,p,f,n,c3
150,agrost,hyema,agrostis,hyemalis,poaceae,p,g,n,c3
151,kummer,stipu,kummerowia,stipulacea,fabaceae,a,f,i,c3
152,asclep,virdf,asclepias,viridiflora,asclepiadaceae,p,f,n,c3
153,agerat,altis,ageratina,altissima,asteraceae,p,f,n,c3
154,comand,umbel,comandra,umbellata,santalaceae,p,f,n,c3
