"","coef_names","no.sig","no.sig.pos"
"1","watershedN4B",27,11
"2","trtBSI",23,7
"3","trtBSX",22,10
"4","trtXSI",13,2
"5","trtXSX",16,6
"6","trtXXI",19,6
"7","watershedN4B:trtBSI",13,10
"8","watershedN4B:trtBSX",11,8
"9","watershedN4B:trtXSI",11,5
"10","watershedN4B:trtXSX",11,7
"11","watershedN4B:trtXXI",14,6
